,locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
65,8039,US Diplomatic Post: Mumbai,pm25,9.0,"{'utc': '2022-05-23T18:00:00+00:00', 'local': '2022-05-23T23:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
66,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-23T19:00:00+00:00', 'local': '2022-05-24T00:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
67,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-23T20:00:00+00:00', 'local': '2022-05-24T01:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
68,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-23T21:00:00+00:00', 'local': '2022-05-24T02:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
69,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-23T22:00:00+00:00', 'local': '2022-05-24T03:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
70,8039,US Diplomatic Post: Mumbai,pm25,12.0,"{'utc': '2022-05-23T23:00:00+00:00', 'local': '2022-05-24T04:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
71,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T00:00:00+00:00', 'local': '2022-05-24T05:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
72,8039,US Diplomatic Post: Mumbai,pm25,10.0,"{'utc': '2022-05-24T01:00:00+00:00', 'local': '2022-05-24T06:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
73,8039,US Diplomatic Post: Mumbai,pm25,11.0,"{'utc': '2022-05-24T02:00:00+00:00', 'local': '2022-05-24T07:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
74,8039,US Diplomatic Post: Mumbai,pm25,13.0,"{'utc': '2022-05-24T03:00:00+00:00', 'local': '2022-05-24T08:30:00+05:30'}",µg/m³,"{'latitude': 19.07283, 'longitude': 72.88261}",NA,,False,False,Governmental Organization,reference grade
